idbel_white,fullname_white,belrating_white,result,idbel_black,fullname_black,belrating_black
50086,"Beukema, Jasper",2324,0-1,70092,"Gurevich, Mikhail",2555
17720,"Sochacki, Christophe",2461,1-0,28436,"Decrop, Benjamin",2204
1759,"Bouhallel, Rabah",2237,½-½,50211,"Marechal, Andy",2317
14849,"Sochacki, Wojtek",2324,1-0,43648,"Timmerman Gert, Jan",2188
76368,"Roger, Mehdi",2121,1-0,76929,"Denayer, Eric",2131
50474,"Werner, Ivan",2072,0-1,28908,"Decrop, Hendrik",2048
22764,"Peeren, Yen",2124,1-0,63011,"Uhoda, Philippe",2046
86215,"Geuquet, Michaël",1987,0-1,30805,"Cocquyt, Tijs",2095
49301,"Dgebuadze, Alexandre",2432,0-1,75515,"Åkesson, Ralf",2402
24765,"Sirosh, Ilja",2368,0-1,24764,"Pham, Khoi",2361
17438,"Matnadze, Ana",2402,½-½,23108,"Goossens, Roel",2370
15269,"Dauw, Sterre",2247,0-1,26763,"Muetsch, Annmarie",2230
14781,"Blom, Vincent",2332,½-½,6084,"Praet, Maarten",2233
16365,"Tonoli, Benjamin",2181,½-½,50251,"Grochal, Joey",2280
12850,"Stange, Sven",2159,½-½,32328,"Verheyden, Jonas",2108
56332,"Van Espen, Eddy",2039,0-1,23436,"Elgersma, Onno",2265
16505,"Beerdsen, Thomas",2520,½-½,60243,"Burg, Twan",2531
19579,"Nagy, Gabor",2461,½-½,19800,"Zwirs, Nico",2443
24682,"Roebers, Eline",2419,1-0,23240,"Galyas, Miklos",2472
24981,"Berczes, David",2440,0-1,49921,"Beukema, Stefan",2440
13376,"De Waele, Warre",2289,½-½,27455,"Niermann, Tristan",2388
5584,"Lemmers, Oscar",2352,½-½,21345,"Van Dael, Siem",2290
10284,"Sterck, Arno",2257,1-0,14131,"Harff, Marcel",2309
345,"Meessen, Rudolf",2159,0-1,10670,"De Feijter, Bas",2207
12330,"Zelbel, Patrick",2466,1-0,99627,"Ikonnikov, Vyacheslav",2467
15782,"Lopez, Jasel",2395,½-½,43427,"Levin, Felix",2450
96784,"Hausrath, Daniel",2442,1-0,5142,"Wunnink, Michael",2252
52191,"Bezemer, Arno",2231,0-1,12332,"Milov, Leonid",2425
91367,"Gulbas, Cemil",2364,1-0,19872,"Visser, Henk-Jan",2224
24601,"Groffen, Hans",2071,½-½,61891,"Balduan, Markus",2314
95074,"Litwak, Aleksej",2292,½-½,26638,"Ghysels, Chris",2049
38342,"Galle, Andre",2013,0-1,73270,"Lafosse, Jimmy",2217
17626,"Kuipers, Stefan",2448,1-0,78794,"Bauer, Christian",2590
19637,"Fernandez, Daniel Howard",2518,1-0,17529,"Baselmans, Luuk",2338
56863,"De Strycker, Nathan",2273,0-1,15625,"Pijpers, Arthur",2465
44504,"Van Der Stricht, Geert",2333,½-½,11532,"Colijn, Stefan",2251
17532,"Baselmans, Sam",2220,0-1,21132,"Ruzhansky, Elias",2247
20354,"Draftian, Ashote",2278,0-1,67946,"Boeykens, Marc",2138
13707,"Butzen, Robin",2052,0-1,26876,"Polak, Alexander",2185
35572,"Vanheirzeele, Daniel",2049,1-0,15824,"Lagendijk, Ivo",1802
71757,"Godart, François",2376,0-1,15046,"Ernst, Sipke",2539
35181,"Leenhouts, Koen",2446,1-0,3003,"Lenaerts, Lennert",2338
26836,"Kollen, Zyon",2343,0-1,10832,"Maerevoet, Sim",2406
10391,"Geirnaert, Steven",2429,1-0,10483,"Fontaine, Quentin",2321
39012,"Sarrau, Jelle",2352,½-½,27448,"Motwani, Paul",2413
10270,"De Schampheleire, Glen",2375,½-½,21157,"Sidiropoulos, Nikolaos",2210
26848,"Bashylina, Luisa",2151,1-0,51861,"Piceu, Tom",2309
16911,"Vantorre, Nils",2079,½-½,19806,"Maltezeanu, Stefan",2099
11001,"Miesen, Fabian",2208,½-½,27001,"Barseghyan, Harutyun",2428
12802,"Godry, Clément",2079,0-1,23779,"Simenon, Jozef",2217
11486,"Mengerink, Ynze",2074,0-1,27381,"Degardin, Sylvain",
27248,"Ellis, Antoine",2083,1-0,16529,"Bachaus, Sander",1979
11986,"De Mon, Gino",1974,0-1,27274,"Markuszewski, Maksymilian",2062
60517,"Marchal, Laurent",1880,1-0,10537,"Merx, Bob",1963
30384,"De Cauter, Wolfgang",1949,½-½,93084,"Franc, Emmanuel",2051
90883,"De Noose, Daniel",1843,0-1,21219,"De Vries, Leon",1926
63819,"Peek, Maurice",2385,½-½,57533,"Verstraeten, Rein",2374
10942,"Pirard, Natan",2244,1-0,1031,"Gijsen, Stief",2229
2623,"Maes, Thomas",2221,1-0,17116,"Ponnet, Hendrik",2288
10978,"Verheyen, Olivier",2148,½-½,5606,"Swijsen, Lars",2148
16824,"Govoreanu, Matei",1956,½-½,15850,"Verboven, Wout",2062
10546,"Van Den Bosch, Arno",2028,1-0,11619,"Bellens, Steven",2018
34614,"Van Dyck, Marc",1991,0-1,13279,"De Witte, Stein",1864
15556,"Gommers, Tijn",1662,1-0,11373,"Vanlommel, Maxim",1847
14386,"Follesa, Enrico",2174,1-0,73296,"Herman, Jean",2254
80209,"Mastalerz, Xavier",2232,1-0,6815,"Verhaeren, Gertjan",2107
