Nr,Club1,Club2,Club3,Club4
,Division 1 Afdeling,,Division 2A Afdeling,Division 2B Afdeling
1,301 KOSK 1,,703 Eisden/MSK-Dilsen 1,301 KOSK 2
2,471 Wachtebeke 1,,176 Rokade Westerlo 1,109 Borgerhout 1
3,432 Wetteren 1,,401 KGSRL 2,114 Mechelen 1
4,621 T.A.L 621 1,,952 Wavre 1,401 KGSRL 3
5,166 TSM Mechelen 1,,239 Boitsfort 1,166 TSM Mechelen 2
6,601 CRELEL 1,,226 Europchess 1,462 Zottegem 1
7,303 KBSK Brugge 1,,501 CREC Charleroi 1,303 KBSK Brugge 2
8,401 KGSRL 1,,618 Echiquier Mosan 1,278 Pantin 1
9,402 Jean Jaurès Gent 1,,607 KSK Rochade 2,261 Gambiet Opwijk 1
10,607 KSK Rochade 1,,514 MCC 1,209 The Belgian CC 1
11,230 Leuven Centraal 1,,231 Dolle Toren Leuven 1,436 LSV-Chesspirant 1
12,901 Namur Echecs 1,,548 Caïssa Europe 1,124 Deurne 1
,Division 3A Afdeling,Division 3B Afdeling,Division 3C Afdeling,Division 3D Afdeling
1,174 Brasschaat 1,207 2 Fous Diogène 1,302 KISK Ieper 1,727 Midden Limburg 1
2,101 KASK 1,244 Brussels 1,340 Izegem 1,244 Brussels 2
3,114 Mechelen 2,228 Dworp 1,432 Wetteren 2,627 Wirtzfeld 1
4,260 Kapelle-op-den Bos 1,239 Boitsfort 2,309 KRST 1,810 Marche-en-Famenne 1
5,401 KGSRL 4,417 Pion-Aalst 1,313 KWSLE 1,604 KSK47-Eynatten 1
6,128 Beveren 1,226 Europchess 2,541 Leuze 1,601 CRELEL 2
7,132 Oude God 1,548 Caïssa Europe 2,303 KBSK Brugge 3,601 CRELEL 3
8,410 St.-Niklaas 1,278 Pantin 2,472 De Mercatel 1,230 Leuven Centraal 2
9,708 NLS Lommel 1,201 CREB Bruxelles 1,521 Tournai 1,607 KSK Rochade 3
10,143 Boey Temse 1,401 KGSRL 5,401 KGSRL 6,135 Geel 1
11,425 Dendermonde 1,511 EDC 1,436 LSV-Chesspirant 2,231 Dolle Toren Leuven 2
12,174 Brasschaat 2,418 VPTD Geraardsbergen 1,430 Landegem 1,901 Namur Echecs 2
