key,en,nl,fr,de
1 group,1 group,1 groep,1 groupe,1 Gruppe
2 opposite groups,2 opposite groups,2 tegengestelde groepen,2 groupes opposés,2 entgegengesetzte Gruppen
Access Rights,Access Rights,Toegangsrechten,Droits d'accès,Zugangsrechte
Actions,Actions,Acties,Actions,Aktionen
Active players of club,Active players of club,Actieve clubspelers,Joueurs actifs du club,Aktive Spieler des Vereins
Add a transfer from a club,Add a transfer from a club,Een transfer vanaf een club toevoegen,Ajouter un transfert depuis un club,Fügen Sie einen Transfer hinzu
Add enrollment,Add enrollment,Inschrijving toevoegen,Ajouter une inscription,Anmeldung hinzufügen
Add to playerlist,Add to playerlist,Toevegen aan spelerslijst,Ajouter à la liste de force,Zur Spielerliste hinzufügen
Add transfer to a club,Add transfer to a club,Trnasfer naar een club toevoegen,Ajouter un transfert à un club,Transfer zu einem Verein hinzufügen
Address,Address,Adres,Adresse,Adresse
Administration,Administration,Beheer,Administration,Administration
Affiliations,Affiliations,Aanslutingen,Affiliations,Zugehörigkeiten
Affiliations manager,Affiliations manager,Verantwoordelijke aansluitingen,Responsable des affiliations,Verantwortliche Zugehörigkeiten
All rounds,All rounds,Alle ronden,Toutes les rondes,Alle Runden
Announcements,Announcements,Meldingen,Annonces,Ankündigungen
"As a default, your clubname is used.","As a default, your clubname is used.",Standaard wordt je clubnaam gebruikt.,"Par défaut, le nom de cercle est utilisé.",Standardmäßig wird Ihr Vereinsname verwendet.
"As such, for this interclub season, it can transfer it members to other clubs.","As such, for this interclub season, it can transfer it members to other clubs.",Als zodanig kan het voor dit interclubseizoen zijn leden overdragen aan andere clubs.,"A ce titre, pour cette saison interclubs, il peut transférer ses membres vers d'autres clubs.",Als solcher kann er für diese Interclub-Saison seine Mitglieder zu anderen Clubs transferieren.
Assigned Rating,Assigned Elo,Toegewezen Elo,Elo attribué,Zugewiesenes Elo
Availability,Availability,Beschikbaarheid,Disponibilité,Verfügbarkeit
Average ELO,Average ELO,Gemiddelde ELO,Moyenne ELO,durchschnittlicher ELO
Average ELO home,Average ELO home,Elo-gemiddelde thuis,Elo moyenne domicile,Durchschnittliches ELO Heim
Average ELO visit,Average ELO away,Elo-gemiddelde uit,Elo moyenne extérieur,Durchschnittliches ELO Auswärts
away,Away,Uit,Extérieur,Auswährt
Back,Back,Terug,Retour,Zurück
Bank account BIC,Bank account BIC,Bankrekening BIC,BIC du compte bancaire,Bankkonto-BIC
Bank account IBAN,Bank account IBAN,Bankrekening IBAN,IBAN du compte bancaire,Bankkonto-IBAN
Bank account name,Bank account name,Naam bankrekening,nom du compte bancaire,Bankkontoname
Bank details,Bank details,Bankgegevens,coordonnées bancaires,Bank details
BC Adults,BC Adults,BK volwassenen,CB adultes,BLM Erwachsene
BC Blitz,BC Blitz,BK Blitz,CB Blitz,BLM Blitz
BC Rapid,BC Rapid,BK Rapid,CB Rapid,BLM Rapid
BC School chess,BC School chess,BC Schoolschaak,CB inter-écoles,BLM Schulschah
BC Youth,BC Youth,BK Jeugd,CB Jeunesse,BLM Jugend
Board,Board,Bestuur,Organe d'administration,Verwaltungsrat
Board members,Board members,Bestuursleden,Administrateurs,Vorstandsmitglieder
Book 100 years,Book 100 years,Boek 100 jaar,Livre 100 ans,Buch 100 Jahre
Calendar,Calender,Kalender,Calendrier,Kalender
Cancel,Cancel,Annuleren,Annuler,Absagen
Capacity (boards),Capacity (boards),Capaciteit (borden),Capacité (échiquiers),Kapazität (Schachbretter)
Chess equiment,Chess equiment,Schaakmateriaal,Equipement d'échecs,Schachausrüstung
Click on the value of assigned rating to change it,Click on the value of assigned rating to change it,Klik op de waarde van de toegewezen Elo om deze te wijzigen,Cliquez sur la valeur de l'ELO attribué pour la modifier,"Klicken Sie auf den Wert der zugewiesenen Elo, um ihn zu ändern"
Closing time for modifying the playerlist,Closing time for modifying the playerlist,Sluitingstijd voor het wijzigen van de spelerslijst,Heure de fermeture pour modifier la liste de force,Schließungszeit für die Änderung der Spielerliste
Club,Club,Club,Cercle,Verein
Club administrators,Club administrators,Clubbeheerders,Administrateurs du cercle,Vereinsadministratoren
Club details,Club details,Clubgegevens,Détails du club,Vereinsdaten
Club number,Club number,Clubnummer,Numéro de club,Clubnummer
Club saved,Club saved,Club bewaard,Cercle sauvé,Verein gespeichert
Club venue,Club venue,Clublokaal,Lieu du club,Ort des Clubs
Clubs,Clubs,Clubs,Cercles,Vereine
