reason,division,boardnumber,guilty,opponent
forfait away,3B,1,EDC 1,Brussels 1
forfait away,3B,3,Caïssa Europe 2,Europchess 2
forfait away,3C,1,KBSK Brugge 3,Leuze 1
forfait home,4B,1,KASK 2,Geel 2
forfait away,4D,1,KSK Rochade 6,Philippeville 1
forfait away,4D,2,KSK Rochade 6,Philippeville 1
forfait away,4D,3,KSK Rochade 6,Philippeville 1
forfait away,4D,4,KSK Rochade 6,Philippeville 1
forfait away,4E,1,Gambiet Opwijk 2,DZD Halle 1
forfait away,5B,2,MCC 2,C.E.Sambrevillois 3
forfait home,5I,2,Dworp 3,MCC 3
forfait home,5N,3,KASK 3,Boey Temse 3
forfait home,5N,4,KASK 3,Boey Temse 3
rating order not correct,2A,8,Echiquier Mosan 1,
rating order not correct,3D,5,Geel 1,
rating order not correct,4C,2,KGSRL 7,
rating order not correct,5C,3,Bastogne 1,
rating order not correct,5C,3,Echiquier Mosan 3,
rating order not correct,5G,4,Deurne 5,
rating order not correct,5I,2,MCC 3,
Titular played in wrong series,5G,1,Oude God 5,
